学号	姓名	性别	专业	班级	高等数学	大学物理	程序设计	数据结构	线性代数	离散数学
2024400275	庄林	女	电子信息工程	电子信息工程2班	71	72.1	66	79.9	73	65.6
2024400276	李凯	女	电子信息工程	电子信息工程2班	69.5	77.2	70.4	75.2	73.3	87.4
2024400277	邵敏	男	电子信息工程	电子信息工程2班	91	92.4	84.7	64.9	88.2	86.4
2024400278	焦红霞	男	电子信息工程	电子信息工程2班	81.9	69.1	75.9	78.1	81.8	62.7
2024400279	李娜	女	电子信息工程	电子信息工程2班	90.8	80.3	79.5	61	74.8	66.3
2024400280	杨宇	男	电子信息工程	电子信息工程2班	68.7	76.6	72	87.3	69.8	83.1
2024400281	王丹丹	女	电子信息工程	电子信息工程2班	81.8	81	63.5	84.6	82.2	76.7
2024400282	沈玉英	女	电子信息工程	电子信息工程2班	75.9	81.1	72.4	71.1	90.5	78.2
2024400283	陈秀荣	女	电子信息工程	电子信息工程2班	79.4	81.7	68.1	84.7	68.8	66.8
2024400284	徐娜	女	电子信息工程	电子信息工程2班	61.5	82	79.7	83.4	80.8	85.6
2024400285	田辉	男	电子信息工程	电子信息工程2班	77.4	77.2	73.8	68.8	88.3	91.5
2024400286	徐超	女	电子信息工程	电子信息工程2班	84	72.6	74.4	79.5	78.4	73.1
2024400287	林杰	女	电子信息工程	电子信息工程2班	70	76.7	70.3	61.2	69.2	61.3
2024400288	范波	男	电子信息工程	电子信息工程2班	75.6	63.5	67.3	84.9	97.4	89.3
2024400289	方桂英	女	电子信息工程	电子信息工程2班	61.3	83.2	77.8	90.4	74.8	64.9
2024400290	张玉珍	男	电子信息工程	电子信息工程2班	71.4	86.9	71	68.3	78	89.7
2024400291	邬桂花	女	电子信息工程	电子信息工程2班	69.3	85.8	64.4	84.1	73.8	60.8
2024400292	王丽	男	电子信息工程	电子信息工程2班	78.8	80.4	73	70.5	77.4	90.7
2024400293	陆建平	男	电子信息工程	电子信息工程2班	94.5	77.5	83.7	74.1	76.5	60.2
2024400294	林秀珍	女	电子信息工程	电子信息工程2班	77.2	73.1	64	84	66.2	72.5
2024400295	徐倩	女	电子信息工程	电子信息工程2班	78.1	64.3	77.1	67.5	90.7	79
2024400296	苏丽丽	女	电子信息工程	电子信息工程2班	63.5	77.7	62.3	82.5	71.5	77.4
2024400297	张凤兰	女	电子信息工程	电子信息工程2班	81.2	73	74	83.5	85.6	72.6
2024400298	刘佳	女	电子信息工程	电子信息工程2班	63.8	73.3	79.7	76.8	68.2	74.4
2024400299	饶磊	男	电子信息工程	电子信息工程2班	73.3	71.5	71.3	73.8	70.3	81.8
2024400300	李雪	男	电子信息工程	电子信息工程2班	68.5	71.3	61	73.2	64.1	82.3
2024400301	刘婷婷	男	通信工程	通信工程1班	78.2	89.5	72.3	78.8	61.8	76.6
2024400302	袁玉梅	女	通信工程	通信工程1班	62.8	80.1	86.3	83.2	84.7	92.3
2024400303	王阳	女	通信工程	通信工程1班	78.6	81.7	73.1	77.4	70.2	87.3
2024400304	王燕	男	通信工程	通信工程1班	82.4	66.3	73.4	85.7	61.2	60.8
2024400305	朱楠	男	通信工程	通信工程1班	81.8	75.9	73.6	88.5	70.5	79.1
2024400306	武平	女	通信工程	通信工程1班	72.7	74.7	94.1	64.4	80.9	81.9
2024400307	张梅	男	通信工程	通信工程1班	63.7	69.7	76.5	63	86.7	78.6
2024400308	魏敏	女	通信工程	通信工程1班	69.9	77.2	63.9	81.8	69.4	85.2
2024400309	王琳	女	通信工程	通信工程1班	80.3	83.2	64.9	83.9	63.8	84.1
2024400310	黄勇	女	通信工程	通信工程1班	84.5	71.5	75.8	81.9	62.9	62
2024400311	郑磊	女	通信工程	通信工程1班	90	74.1	82.6	73.1	98.4	64.1
2024400312	王雷	女	通信工程	通信工程1班	78.5	79.5	73	68	85	73.4
2024400313	周雪梅	男	通信工程	通信工程1班	70.2	80.4	68.7	78.6	69.6	64.6
2024400314	曹红梅	女	通信工程	通信工程1班	69.6	73	72.3	67.1	69.8	77.1
2024400315	顾畅	男	通信工程	通信工程1班	97	78.9	67.3	64.7	62	70.8
2024400316	金红梅	女	通信工程	通信工程1班	85.7	79.2	66.9	93.1	75.7	77.4
2024400317	李杨	女	通信工程	通信工程1班	63.2	63.6	68.7	73.2	70.1	80.9
2024400318	廖莹	女	通信工程	通信工程1班	69.4	75.9	61.7	69.5	81	74.6
2024400319	胡建国	男	通信工程	通信工程1班	77.6	80.5	74.6	76.5	74.2	74.2
2024400320	李斌	女	通信工程	通信工程1班	88.6	69.2	72.1	67.3	68.3	69.9
2024400321	赵丽	女	通信工程	通信工程1班	67.6	65.6	64.2	85.8	70.6	77.3
2024400322	祁芳	女	通信工程	通信工程1班	73.3	84.6	66.2	71.3	74.4	68.7
2024400323	衡丽	女	通信工程	通信工程1班	78.5	94.1	69.9	75.4	92.6	68.6
2024400324	赵莉	男	通信工程	通信工程1班	83.6	94.9	79.8	79	80.3	72.1
2024400325	贺建国	女	通信工程	通信工程1班	64.9	74.5	89.6	65.8	62.9	91.7
2024400326	白娜	女	通信工程	通信工程1班	77.4	69.9	93.8	73.2	82.3	74.3
2024400327	申帅	女	通信工程	通信工程1班	78.8	84.6	71.2	67.8	68.9	89.4
2024400328	林雪	女	通信工程	通信工程1班	84.8	79.1	84.2	65.9	78.5	81
2024400329	陈荣	男	通信工程	通信工程1班	64.2	80.7	84.4	78.4	85.3	80.2
2024400330	曾秀兰	男	通信工程	通信工程1班	77	68	75.9	66.4	81.1	81.8
2024400331	刘博	女	通信工程	通信工程1班	68.8	70.5	69.1	66.3	90	73.4
2024400332	施凯	女	通信工程	通信工程1班	92	84	75.9	75.9	86.1	68.9
2024400333	任利	男	通信工程	通信工程1班	84.7	72.4	76.5	76.4	70.8	63
2024400334	王龙	男	通信工程	通信工程1班	77.2	76.6	76.8	86.4	85.4	92.7
2024400335	任洁	男	通信工程	通信工程1班	70.2	79.5	86.5	87.5	65.7	71.9
2024400336	孙莉	男	通信工程	通信工程1班	66.9	76.6	89.6	70.3	84.2	61.2
2024400337	杨涛	男	通信工程	通信工程1班	73	66.8	71.9	82	90	64.7
2024400338	袁秀芳	女	通信工程	通信工程1班	87.2	76.4	82.6	69.8	89	71.9
2024400339	柴淑兰	女	通信工程	通信工程1班	62	70.8	62.6	72.5	67.4	88.3
2024400340	郜建军	男	通信工程	通信工程1班	64.2	63.1	73.2	99.6	75	69.2
2024400341	曹桂英	女	通信工程	通信工程1班	77	86.9	63.4	86.4	69.4	74.2
2024400342	秦欣	男	通信工程	通信工程1班	77.9	79.1	66.4	94.2	69.5	78
2024400343	文岩	女	通信工程	通信工程1班	77.7	73.8	75.5	94.3	94.2	64.2
2024400344	解玉兰	女	通信工程	通信工程1班	72.8	60.8	72.6	94.1	85.3	76.4
2024400345	韩娜	男	通信工程	通信工程1班	82.2	72.2	70	69.6	75.6	70.9
2024400346	黄欢	女	通信工程	通信工程1班	79.6	90.9	87.8	61.8	80.1	70.9
2024400347	李桂荣	女	通信工程	通信工程1班	77.3	73.7	63	79.8	78.1	71.4
2024400348	郭杨	男	通信工程	通信工程1班	73.2	79.2	85.4	83	85.8	88.4
2024400349	吕成	男	通信工程	通信工程1班	75.1	78.4	83.2	79.6	93.5	94
2024400350	朱小红	男	通信工程	通信工程1班	74	65.1	82.4	69.5	76.6	68.5
2024400351	丁燕	女	通信工程	通信工程2班	86.1	90.7	65.8	89.4	83.6	76.7
2024400352	文宁	女	通信工程	通信工程2班	73.2	78	75.9	80.4	63.3	84.3
2024400353	邹强	女	通信工程	通信工程2班	74.3	91.4	68.4	67.1	69.1	71.4
2024400354	马军	女	通信工程	通信工程2班	91	83.6	83.4	89.4	61.9	63.4
2024400355	谭丹丹	男	通信工程	通信工程2班	70.2	82.1	71.4	76.9	84.1	74.4
2024400356	陶桂兰	男	通信工程	通信工程2班	98.5	71	78.9	86.3	70.1	63
2024400357	查丽华	女	通信工程	通信工程2班	68.3	80.6	60.3	78.3	82.1	87.6
2024400358	周志强	男	通信工程	通信工程2班	70.1	82.1	95.4	77.2	82.8	76.9
2024400359	苏荣	男	通信工程	通信工程2班	79.9	82.9	81.6	87.2	80.4	91
2024400360	罗秀云	男	通信工程	通信工程2班	61.4	79.4	78.5	78.3	84.5	68.7
2024400361	王秀英	男	通信工程	通信工程2班	68	93.3	72.4	78.4	70.3	76.6
2024400362	刘建国	男	通信工程	通信工程2班	94.1	73.2	74.4	65.4	63.1	89.6
2024400363	姚明	女	通信工程	通信工程2班	84.4	64.6	66.6	75	63.8	88
2024400364	钱勇	男	通信工程	通信工程2班	68.7	66	91.2	78.8	69.9	91.9
2024400365	林欣	男	通信工程	通信工程2班	83.3	67	75.9	97.1	89.6	66.4
2024400366	刘岩	男	通信工程	通信工程2班	82	73.3	89.3	78.4	75.4	66.8
2024400367	易亮	男	通信工程	通信工程2班	86.4	80.2	64.7	67.8	87.6	73.8
2024400368	韩桂荣	女	通信工程	通信工程2班	78.9	76.9	69.7	68.2	72.3	73.5
2024400369	罗婷	女	通信工程	通信工程2班	67	81.9	75.2	77.1	83.7	67.8
2024400370	张强	男	通信工程	通信工程2班	74.9	80.3	61.9	77.6	61	94.3
2024400371	张辉	女	通信工程	通信工程2班	83.8	77.6	73.7	78.7	82.9	77.2
2024400372	李静	男	通信工程	通信工程2班	75	77.5	70.8	71.2	88	81
2024400373	黄建	女	通信工程	通信工程2班	69.6	70.5	84.3	73.4	78.5	82.3
2024400374	幸秀梅	女	通信工程	通信工程2班	77.1	69	82.2	83.2	75.4	68
2024400375	任秀荣	男	通信工程	通信工程2班	65.2	74.4	85.3	73.9	81.1	87.7
2024400376	范瑜	女	通信工程	通信工程2班	77.4	66.8	74.1	72.5	75.1	61.4
2024400377	黄建华	男	通信工程	通信工程2班	71	63.1	62	76.6	76.2	80.4
2024400378	崔桂芳	女	通信工程	通信工程2班	88.4	76.3	92.6	77.4	91	82.6
2024400379	王波	男	通信工程	通信工程2班	84.5	72.6	90.7	80.9	72.1	65
2024400380	林莉	女	通信工程	通信工程2班	84.1	74.5	76.6	79.6	82.9	72.8
2024400381	徐秀荣	男	通信工程	通信工程2班	68.6	66.7	76.1	74.3	71.6	81.9
2024400382	石凤兰	男	通信工程	通信工程2班	71.6	71.2	75	94	81.8	71.8
2024400383	钱燕	男	通信工程	通信工程2班	81.4	84.8	78.9	63.5	77.2	71.8
2024400384	马晶	女	通信工程	通信工程2班	73.8	83	77.3	83.2	78.5	83.2
2024400385	金丽娟	男	通信工程	通信工程2班	89.4	76.8	61.4	83	84.6	68.3
2024400386	陈云	男	通信工程	通信工程2班	70.6	86.5	68.3	63.2	87.2	75.1
2024400387	胡桂香	女	通信工程	通信工程2班	67.4	68.5	60.5	68.5	65.7	72.4
2024400388	谭兰英	女	通信工程	通信工程2班	70	70.3	65.2	88.6	73.7	68.2
2024400389	杨建平	男	通信工程	通信工程2班	78.5	70	68	75	83.4	62.6
2024400390	冼阳	女	通信工程	通信工程2班	73.4	80	75.6	63.7	72.7	72.6
2024400391	刘玉英	男	通信工程	通信工程2班	67.1	82.6	79.7	73.5	69.2	68
2024400392	郑玉华	女	通信工程	通信工程2班	67	69.4	78	73.7	79.6	81.1
2024400393	钱丽	男	通信工程	通信工程2班	86.1	69.1	69.6	82.7	69	67.8
2024400394	洪秀英	女	通信工程	通信工程2班	88.4	70.3	61.4	75.5	68	80.1
2024400395	周丽娟	男	通信工程	通信工程2班	71.7	86.5	85	90.1	82	81.5
2024400396	金秀梅	女	通信工程	通信工程2班	77.4	75.2	70.9	74.8	73.3	79.2
2024400397	黄淑英	女	通信工程	通信工程2班	76.3	72.1	78.7	69.7	73.7	73.4
2024400398	刘金凤	男	通信工程	通信工程2班	70.3	96	79.2	81.5	68.6	68.3
2024400399	王秀华	男	通信工程	通信工程2班	61.1	61.7	67.4	74.1	65.9	65.4
2024400400	鞠博	女	通信工程	通信工程2班	82	60.3	85.8	75.2	72.9	65.3
2024400401	葛玉兰	女	自动化	自动化1班	77.7	68.1	86.1	78.2	69.7	70.5
2024400402	陈志强	男	自动化	自动化1班	72.3	73.2	76.3	72.6	66.8	90.6
2024400403	赵晨	女	自动化	自动化1班	61.6	71.6	89	78.4	67	71
2024400404	李鹏	男	自动化	自动化1班	67.1	79.7	72.4	74.7	75.4	80.4
2024400405	段辉	女	自动化	自动化1班	63.5	67.2	90.4	77.9	68.6	79.4
2024400406	段志强	男	自动化	自动化1班	90.8	73.1	76.3	70.5	70	75.6
2024400407	孟秀华	男	自动化	自动化1班	82.7	67.8	76.1	64.8	67.4	71.3
2024400408	吴华	女	自动化	自动化1班	73.6	74.7	69.2	70.4	72.4	66.4
2024400409	周亮	男	自动化	自动化1班	70.2	77.4	69.2	71.9	74.6	61.9
2024400410	李凤兰	男	自动化	自动化1班	77.5	78	97.3	64.7	83.5	70.8
2024400411	叶玉兰	男	自动化	自动化1班	85.4	62.3	68.5	91.2	71.8	85.2
2024400412	李瑞	男	自动化	自动化1班	92.5	70.5	96.5	79.9	83.8	78.6
2024400413	贾林	男	自动化	自动化1班	68	75	72.7	91	90.2	73.5
2024400414	何瑜	男	自动化	自动化1班	85.1	80	74.9	75	72.6	76.1
2024400415	姜俊	男	自动化	自动化1班	88	83.9	83.6	66.2	78.5	84.4
2024400416	郭玲	男	自动化	自动化1班	77.6	66.6	76.7	74.2	79.5	78.9
2024400417	李帆	男	自动化	自动化1班	86.8	82	79.2	77.7	93.5	69.8
2024400418	吴秀荣	男	自动化	自动化1班	73.6	85.4	77.4	71.2	65.6	72.8
2024400419	王雪	男	自动化	自动化1班	87.3	81.9	68.2	86.5	64.4	72.6
2024400420	国丽丽	男	自动化	自动化1班	81.9	87.9	63	68.3	75.6	75.4
2024400421	潘敏	男	自动化	自动化1班	73	75.5	74.5	62.8	62.9	69.4
2024400422	朱东	女	自动化	自动化1班	64.1	73.4	81.9	71	83.7	82.2
2024400423	戴兰英	男	自动化	自动化1班	91.2	73.3	75.3	80.6	77.3	71.4
2024400424	李帅	女	自动化	自动化1班	75.4	66.1	70.5	93.8	85.9	89.5
2024400425	李文	女	自动化	自动化1班	87.9	63.6	75.3	66.1	76.6	77.8
2024400426	徐琳	男	自动化	自动化1班	67.9	89.2	64	89.3	69.6	71.5
2024400427	李兵	男	自动化	自动化1班	78.3	63.7	87.2	66	65.9	69.1
2024400428	苏平	男	自动化	自动化1班	92.9	74.3	85.5	77.6	79.6	69.3
2024400429	罗勇	女	自动化	自动化1班	69.6	87.8	71.8	69.9	61.5	75.4
2024400430	李鑫	男	自动化	自动化1班	66.2	82.1	65.4	70.8	69.1	99.8
2024400431	周敏	女	自动化	自动化1班	70.9	77	76.8	72.8	63.3	64.8
2024400432	汪洋	女	自动化	自动化1班	74.7	87.1	73.9	85.7	68.8	78.6
2024400433	陈秀荣	女	自动化	自动化1班	77.5	77.7	70.2	72.4	81.7	76.5
2024400434	王洁	女	自动化	自动化1班	73	75.7	81.7	75	69.1	83.4
2024400435	胡春梅	女	自动化	自动化1班	80.2	74.7	81.5	74.2	65.6	85.9
2024400436	赵军	男	自动化	自动化1班	87.9	73.8	72.1	90.2	74	71.8
2024400437	孙娟	男	自动化	自动化1班	65.2	78.1	69.9	76.1	94.7	74.6
2024400438	徐志强	女	自动化	自动化1班	91.4	86	74.6	80	76.2	87.6
2024400439	张秀英	男	自动化	自动化1班	79	72.5	75.5	93.1	71.5	90.5
2024400440	鞠宁	男	自动化	自动化1班	90.8	81.1	63.4	64.4	65.3	74.8
2024400441	王飞	女	自动化	自动化1班	74.3	63.4	82.7	66.3	65.8	85.1
2024400442	姜颖	女	自动化	自动化1班	82.9	76.3	74.4	66.6	69.9	72.7
2024400443	程俊	男	自动化	自动化1班	72.5	82.9	77.1	81.7	70.9	75
2024400444	黄淑英	女	自动化	自动化1班	71.8	93.8	69.4	70.8	66.2	84.1
2024400445	余丽丽	男	自动化	自动化1班	84.8	77.4	83.3	76.8	63.7	81.3
2024400446	张海燕	女	自动化	自动化1班	71.2	65.3	85.7	72.6	63.2	78.1
2024400447	丁玉	女	自动化	自动化1班	69.4	91.2	87.5	82.3	77	89.8
2024400448	周敏	男	自动化	自动化1班	69.2	94.1	69	68.4	86.2	68.7
2024400449	杨文	男	自动化	自动化1班	71.6	68.1	63.3	72.8	76.5	72.1
2024400450	吕军	女	自动化	自动化1班	79.5	79.1	75.2	63.4	77.9	94.1
2024400451	段斌	女	自动化	自动化2班	67.8	82.9	76	80.8	62.5	62.9
2024400452	李斌	女	自动化	自动化2班	78.8	89.8	74.5	62.2	82.6	72.1
2024400453	高淑珍	男	自动化	自动化2班	63.5	65.2	80.1	76.7	95.4	71.9
2024400454	周鹏	男	自动化	自动化2班	68.9	83.3	76.7	88.1	81.2	68.3
2024400455	白成	男	自动化	自动化2班	79.9	86.5	69.6	68.8	69.3	79.7
2024400456	王想	女	自动化	自动化2班	80.6	61.9	65.2	70.7	84.1	64.4
2024400457	廖玲	男	自动化	自动化2班	62	76.5	90.2	67.8	67.7	73.8
2024400458	刘凤兰	女	自动化	自动化2班	72.8	74.9	85.3	85.2	77.4	66.9
2024400459	蒋文	男	自动化	自动化2班	93.6	76.4	72.7	83.4	77.1	71.9
2024400460	向晶	男	自动化	自动化2班	82.9	79.4	67.9	79.9	72.6	85.4
2024400461	王洋	女	自动化	自动化2班	67.8	67.1	76.2	63.1	72.9	77.5
2024400462	孙斌	女	自动化	自动化2班	64.7	78.3	63.6	88	60.5	65.7
2024400463	王想	男	自动化	自动化2班	70.1	80.9	82.7	84.5	86.9	64.2
2024400464	徐俊	男	自动化	自动化2班	75.5	79.6	69.2	73.9	85.3	77.7
2024400465	陈磊	男	自动化	自动化2班	85.1	64.1	71.9	75.4	87.1	64.4
2024400466	吴桂花	男	自动化	自动化2班	74.6	61.5	70	76.7	60.9	71.7
2024400467	彭欣	男	自动化	自动化2班	65.5	85.1	70.8	74.6	81.2	82.6
2024400468	鲁娟	女	自动化	自动化2班	81.6	84.2	66.3	69.9	83.3	60.5
2024400469	袁秀芳	男	自动化	自动化2班	80.6	76.5	78.7	76	73.7	70
2024400470	曹秀梅	男	自动化	自动化2班	69.9	69.5	81.6	89.9	94.3	82.2
2024400471	马斌	男	自动化	自动化2班	74.7	76.4	87.1	77.6	77	70.6
2024400472	封荣	男	自动化	自动化2班	68.9	79.7	75.7	78.3	83.1	69.6
2024400473	屈红梅	男	自动化	自动化2班	94.4	75.5	72.3	65.2	74.8	65.5
2024400474	赖静	男	自动化	自动化2班	67.5	69.2	66.9	71.7	65.6	76.8
2024400475	麦志强	女	自动化	自动化2班	64.7	68.7	68.6	71.1	76.3	78.3
2024400476	段平	男	自动化	自动化2班	67.2	93.3	62	80.4	72.5	66.4
2024400477	李林	男	自动化	自动化2班	83.7	79.3	76.7	76.7	65.4	71.1
2024400478	王岩	男	自动化	自动化2班	72	98.2	71.5	75.5	60.1	86.6
2024400479	刘宁	女	自动化	自动化2班	63.4	83	69.2	71.5	70.1	88.5
2024400480	戴成	女	自动化	自动化2班	67.5	67.4	60.1	71	62.4	75.3
2024400481	陈荣	男	自动化	自动化2班	77	76.7	77.1	77.8	90.4	67.4
2024400482	张刚	男	自动化	自动化2班	82.1	84	80.3	60.3	63.1	65.7
2024400483	王秀兰	女	自动化	自动化2班	75.4	81.8	81.9	73.6	76.2	82.9
2024400484	李辉	女	自动化	自动化2班	61.5	76.6	77	90.1	77.4	69.9
2024400485	柯利	男	自动化	自动化2班	80.2	82.5	89.6	87.6	66.6	92.9
2024400486	蒋勇	女	自动化	自动化2班	64	69.5	84.6	76.1	77.5	78.2
2024400487	初静	女	自动化	自动化2班	81.5	62.2	65.4	73.7	80.5	81.3
2024400488	朱雪	男	自动化	自动化2班	70	67.2	81.7	85.7	63.9	65.2
2024400489	梁博	男	自动化	自动化2班	77	85	84.2	63.4	80.7	90.4
2024400490	韦丽	男	自动化	自动化2班	81.6	78.4	65.6	77	61.4	73.9
2024400491	刘超	女	自动化	自动化2班	90.4	80.7	79.7	65	79.5	92.7
2024400492	孟龙	男	自动化	自动化2班	75.9	76.4	77.5	76.3	78.9	90
2024400493	傅明	男	自动化	自动化2班	87	66.2	70.1	68.3	76.5	71
2024400494	姬帅	男	自动化	自动化2班	63.1	76	73	64.7	66.2	92.3
2024400495	严桂香	女	自动化	自动化2班	82.3	74.4	71.6	91.2	79.7	87.6
2024400496	黄畅	女	自动化	自动化2班	66.7	61	63.3	66.8	84.6	60.7
2024400497	许颖	男	自动化	自动化2班	80.7	83.4	67.2	86.4	72.4	68.5
2024400498	周秀云	女	自动化	自动化2班	89.5	71.4	63	61.2	80.3	65.2
2024400499	吴丽	女	自动化	自动化2班	73.2	73	71.8	67.8	80.8	65.5
2024400500	萧小红	女	自动化	自动化2班	79.7	69.4	72.7	75.9	70.4	77
2024400501	李红霞	男	物联网工程	物联网工程1班	84.8	67.1	99.8	82.1	79	64.5
2024400502	陈岩	男	物联网工程	物联网工程1班	70.3	90.6	81	72.3	61.5	89.8
2024400503	罗彬	女	物联网工程	物联网工程1班	67.8	81.7	86.6	82.4	91.5	83.4
2024400504	萧淑华	女	物联网工程	物联网工程1班	80.5	81.5	78	74.6	75	61.9
2024400505	易冬梅	女	物联网工程	物联网工程1班	74.1	91.2	75.1	71.9	84.6	67.7
2024400506	刘华	女	物联网工程	物联网工程1班	72.8	74.6	70.8	83.6	64.7	71.5
2024400507	戚志强	女	物联网工程	物联网工程1班	84.3	68.4	66.4	69.5	78.1	78
2024400508	李明	男	物联网工程	物联网工程1班	76.7	61.7	67.6	80.7	81.1	86.9
2024400509	孙雪	女	物联网工程	物联网工程1班	70.9	83.8	90.3	72.7	74.5	65.8
2024400510	唐东	女	物联网工程	物联网工程1班	64	69.4	89.4	78.6	88.5	89.6
2024400511	李斌	女	物联网工程	物联网工程1班	92.3	87.6	83.1	79.4	76.4	78.2
2024400512	潘林	男	物联网工程	物联网工程1班	73.2	66.4	77.2	68.7	91.2	74.2
2024400513	周鹏	男	物联网工程	物联网工程1班	72.2	63.8	76.1	82.6	79.3	78.3
2024400514	盖红	男	物联网工程	物联网工程1班	73	79.2	87.3	87.4	80	73.7
2024400515	蒋冬梅	女	物联网工程	物联网工程1班	85.9	71.5	69.1	75.2	77.2	83.8
2024400516	张荣	女	物联网工程	物联网工程1班	61	69.5	77.7	81.1	64.8	91.5
2024400517	陈桂香	男	物联网工程	物联网工程1班	81.2	76.5	71.4	75.9	60.8	62.2
2024400518	徐冬梅	女	物联网工程	物联网工程1班	85.1	69.8	73.4	76.6	79.1	79
2024400519	沈云	男	物联网工程	物联网工程1班	74.7	70.3	93.5	79.6	60.1	73.6
2024400520	魏静	男	物联网工程	物联网工程1班	67.7	84.9	66.9	75.2	72.7	85.2
2024400521	王娜	女	物联网工程	物联网工程1班	67.3	74.8	64.4	77.9	89.8	85.2
2024400522	管玉英	男	物联网工程	物联网工程1班	74	75.3	76.9	73.4	83.5	68.9
2024400523	余飞	男	物联网工程	物联网工程1班	63.5	67.9	80.8	98.1	75.1	78.4
2024400524	钟欢	男	物联网工程	物联网工程1班	72.7	72.6	79.4	78.6	67.5	78.2
2024400525	袁秀英	女	物联网工程	物联网工程1班	60.9	74.2	81.7	85	84.9	74
2024400526	曹秀梅	男	物联网工程	物联网工程1班	79.3	83.4	69.8	69.5	87.9	85
2024400527	李俊	女	物联网工程	物联网工程1班	80.2	74.5	68.1	63.1	69.9	99.9
2024400528	孟建国	女	物联网工程	物联网工程1班	75.5	73.3	88.9	80.9	75.6	75
2024400529	徐洁	女	物联网工程	物联网工程1班	83.8	78.5	75	73	62.8	82.7
2024400530	鲍玉珍	男	物联网工程	物联网工程1班	91.9	64.7	90.3	64.6	71.8	79.7
2024400531	史俊	女	物联网工程	物联网工程1班	69.4	82.3	67.7	85.5	69.1	73.3
2024400532	李博	女	物联网工程	物联网工程1班	75.2	65.1	77.2	97.1	78.6	77.9
2024400533	李洁	男	物联网工程	物联网工程1班	66.5	72.6	66.3	90.4	77.7	77.5
2024400534	万淑珍	女	物联网工程	物联网工程1班	92.8	64.8	93.2	77.6	81.9	82.1
2024400535	马玉英	男	物联网工程	物联网工程1班	68.7	68.8	80	76.5	80.6	75.9
2024400536	杨桂花	男	物联网工程	物联网工程1班	61.2	79.6	71.6	76.2	66.7	75.8
2024400537	邱宇	女	物联网工程	物联网工程1班	87.1	77	78.5	76.8	73.4	72.9
2024400538	潘雪	女	物联网工程	物联网工程1班	86.4	76.7	67.4	79.4	73.1	62.8
2024400539	田阳	女	物联网工程	物联网工程1班	65.4	95.8	86.3	80.2	73.6	73.6
2024400540	李建国	女	物联网工程	物联网工程1班	77.3	66.2	75.3	63.7	83.2	70.1
2024400541	谷璐	女	物联网工程	物联网工程1班	69.1	70.4	74.7	63.5	83.5	74.2
2024400542	张建军	男	物联网工程	物联网工程1班	68.2	78.4	67.9	74	84	77.2
2024400543	李春梅	女	物联网工程	物联网工程1班	74.6	70.8	89.5	62.3	79.5	75.1
2024400544	刘旭	男	物联网工程	物联网工程1班	70	81.5	86.7	68.3	86.6	73.3
2024400545	蒋强	女	物联网工程	物联网工程1班	83.2	68.1	71.7	69.2	84.9	95.8
2024400546	鲜桂荣	女	物联网工程	物联网工程1班	62.3	81.3	82.8	68.6	68.1	75.2
2024400547	黄旭	女	物联网工程	物联网工程1班	77.1	77.1	74.4	78.4	86.5	68.4
2024400548	赵婷	男	物联网工程	物联网工程1班	70.2	60.3	62.5	77.3	64.5	65.2
2024400549	金桂花	女	物联网工程	物联网工程1班	69.8	85.5	70.3	87.5	71.2	90.7
2024400550	王婷	女	物联网工程	物联网工程1班	90	65.3	70.5	73.2	68.8	82.3
2024400551	姜建平	男	物联网工程	物联网工程2班	83.7	68.3	60.9	62.7	83	73.8
2024400552	吴平	男	物联网工程	物联网工程2班	83.8	84	73.3	79.7	74.6	73.1
2024400553	凌楠	男	物联网工程	物联网工程2班	76.5	91.2	82.1	77.8	80.3	79.7
2024400554	孙海燕	男	物联网工程	物联网工程2班	79	90.3	89.1	74.8	66.9	89.4
2024400555	康明	男	物联网工程	物联网工程2班	70	80.3	78.8	66.6	79.3	81.2
2024400556	戴淑兰	男	物联网工程	物联网工程2班	81.3	83.8	70.1	62.9	89.2	76.4
2024400557	周丽娟	女	物联网工程	物联网工程2班	64.4	61.9	66.4	79.2	87.7	85.9
2024400558	邓楠	男	物联网工程	物联网工程2班	88.2	66	79.4	84	76.4	75.1
2024400559	林帆	男	物联网工程	物联网工程2班	60.4	78.7	78.6	75.9	78.3	78.5
2024400560	车小红	女	物联网工程	物联网工程2班	74.9	63	84.3	60.7	63.5	79.5
2024400561	马雪	女	物联网工程	物联网工程2班	82	78.4	66	69.8	63.7	74.3
2024400562	白旭	男	物联网工程	物联网工程2班	93.3	76.8	78.8	73.1	80.1	70
2024400563	王敏	女	物联网工程	物联网工程2班	72.2	88	85.4	75.3	75.8	83.3
2024400564	温华	男	物联网工程	物联网工程2班	71	76.5	80.4	80.1	80.9	63.7
2024400565	容秀芳	男	物联网工程	物联网工程2班	75	90.2	85.1	83.3	64	82.1
2024400566	李梅	女	物联网工程	物联网工程2班	60.5	72.5	74.6	79.6	75.2	68.9
2024400567	赵玲	女	物联网工程	物联网工程2班	76	69.5	69.1	81.6	81.6	76.1
2024400568	程瑜	男	物联网工程	物联网工程2班	73.8	71.3	70.6	86.4	88.8	88.9
2024400569	陈洋	男	物联网工程	物联网工程2班	90.8	87.7	72.6	80.8	85.9	82.9
2024400570	徐晨	男	物联网工程	物联网工程2班	68.8	67.8	68	86.6	73.8	62.5
2024400571	孙淑珍	男	物联网工程	物联网工程2班	73.9	83.4	71.5	63	70	79.3
2024400572	解丹丹	男	物联网工程	物联网工程2班	78.3	87	75.9	98.7	84.1	92.1
